circuit,contribution_number,contributor_tag,username,github_numeric_id,contribution_hash
OPRFKeyGenProof13,77,dru-5803,dru,5803,eb3ece39720b872a43ab734f0fd28c76fc1fd149bbd3f4e0dd8760262556a59b86983b707ab1627941e365d07a9f2bef89ce4ab3937b30da611dde8d32f07370
OPRFKeyGenProof13,76,SamiiBou-146248964,SamiiBou,146248964,16250b438020f2ba4601d5d3e4f6a5a4c8b0681188baeef141b88a4c55ad8c4d2aadd448de2322c5ee4640cb7a0766d11771c5765484936dbf3a127fa850925a
OPRFKeyGenProof13,75,giosereth-93916225,giosereth,93916225,d5019231c07bc4cc764f645c968990fe5d5bad8cdf1256d93151ff4459fe85acdf5884458badfc1665853b00f35ed5403717e2e654eac4f66eac22f67019fc8b
OPRFKeyGenProof13,74,x-senpai-x-146017234,x-senpai-x,146017234,671ab1f87c028279efd5ee5da0a72484ef58eb67e3bb980700c34fe9374fcd15b1af979a5d72e74359c10404f0deaa78890faa034d8507a1107b602baa387350
OPRFKeyGenProof13,73,FilipLaurentiu-20188480,FilipLaurentiu,20188480,882059cc7a57dd380b1e87341439323427e757daf43c811cb0f05be52c4b540d108dcbcba0e6115109d1e560b7bbd07cb9961fd3835f52932dd14db16b462584
OPRFKeyGenProof13,72,dangirsh-1173905,dangirsh,1173905,1709479be55db58881dc6b673702bdf70be60c41183e55ccbd3db1757964f6e4bb592e43e2e1e9760fd2fbb321b9f4576a4504f02de22a9983bd81ae5ae31755
OPRFKeyGenProof13,71,microbecode-20242241,microbecode,20242241,9b616f375ccdae629e710138712dce9808da979026c5a157586e044fb12b1980593c005cbf3eb9a2a5ef12b66445ac032a121ed043757c95762b35b5ce860e2c
OPRFKeyGenProof13,70,NiDimi-81875532,NiDimi,81875532,354f3022866490f274da68a15837d8603ce1ad8853b1974e173568a1b42d99cce38380d68f90c38c01d47ed2b5b9a937c4982fd87aa028ae34d01a30d4e97875
OPRFKeyGenProof13,69,recmo-4532328,recmo,4532328,7d569ece134114ce682989a17ce4fe1e3783a5897d00d1b903cde5a760dea29b42cb35e68d59db221e1690a71300da7dad6a830b34b479eb5aea57351f8ab825
OPRFKeyGenProof13,68,decentralgabe-7622243,decentralgabe,7622243,8b1075739c7a81ec9f59f68c00e065fa69bfc59b0f9774a05daa71bd9fc3d97a52b21557276d2a48b140ecbb82aa5556c1372fc3bf5ad67c683760be21b3c22d
OPRFKeyGenProof13,67,momagic-1863409,momagic,1863409,57b5289107afe11e2ef24a41195a5b324c901a012043e05608aad948af4a34d9c7804ac710281f243ea5e1f46999fbce61b733bf2eca2cf24bfc421adeb7675e
OPRFKeyGenProof13,66,r3ld3v-57410303,r3ld3v,57410303,57b412207ce0fc56b4724ace132e7e0a57b53e8b40b6f0bcf3e60d619227ff82fa0cf19adde00ce88ed069b57937003dedab7a91fdd3e7395344e42c576a5083
OPRFKeyGenProof13,65,kappaone-eth-114344126,kappaone-eth,114344126,b1015b96316b032426bd13496ef42701d77ecdf7e413db9c1a613a37ad4673112fb1c36ca90eaeb323790279ec3c8663c84e0b394e04b45962c3946095465935
OPRFKeyGenProof13,64,flipchan-12517945,flipchan,12517945,a90aea99a875b0e9eefe018708b754e9a7385394d4254fb0070e8f0f654f2dc0a05aa1cf792cf2b54e315203ac403ac51b6370f81781e69e52ed007014b70da4
OPRFKeyGenProof13,63,0xVikasRushi-88543171,0xVikasRushi,88543171,8515b8b2f64bee4f7c2a953bc71e7ed3ec489d034621a6966dc81d7cfada9d489c674172da1beda0c884a20376a86488c9c76677315305ce70ff33d45f5a1657
OPRFKeyGenProof13,62,MBelegris-35403627,MBelegris,35403627,3d84c21eec848086162d9eac91d68da1844cd5fc796a0c9ff0d5e97ef0ab321cd5140f2b49ca4994bcc51dd43d33db16641d2214077970cb06029a6fb53cc03b
OPRFKeyGenProof13,61,easonchai-43127107,easonchai,43127107,a862af35759ef8daaf60a9fa6f509cd11068994474c08901c7ef41ed8ac2c8be49e6d0b5dfe0219fcb87af375fd8291530394cc157bffc6584691f1e36a95fbf
OPRFKeyGenProof13,60,suyash67-19621621,suyash67,19621621,70b68297d01b90da0774c83a6f8ea32094293ce7fff60b9e3c0108b030a39cce1af0baa58d07083fe52d9153a74006fcd363f35a6c14a32c1441c1b3ac844b5b
OPRFKeyGenProof13,59,Mimzoge-149468999,Mimzoge,149468999,14dc03ea293587b8c7977e7991ba1af3be8ffbfba18fd74cc2d46aaba9a0117cc6f4d2bae491584f6a9c9b6173dd2eef6ebda8ecd6c40395b9d81d607e780b64
OPRFKeyGenProof13,58,prabal-banerjee-11567168,prabal-banerjee,11567168,db58d922e2a386b73d93730ee1f728218712d010f27a9231c255fb3fe0f05e91f137fbed0dee7b1ed749753f2adba445c13fb4b1bbd46523173c64f910a7def4
OPRFKeyGenProof13,57,CodeMuhammed-6088387,CodeMuhammed,6088387,f18207dc142f0b8f6bd92ac738c4ec7b5b81c4b1d938c6065a7246009c5d5f5a5912fa9ba55a2bfeccf9ce69d460d0dc3353547ce7156d1e5a9a334fbb96d658
OPRFKeyGenProof13,56,bru02-35275408,bru02,35275408,ed354dabbbadcbd322124e866be38e64a3610e68b2bb8136056fcab37eb3409df0d6ded6802fef38dc8899620a965ccebc978c151e515c013ec4542227031498
OPRFKeyGenProof13,55,JorikSchellekens-23084468,JorikSchellekens,23084468,ef65ec8c6ad52ebf1160988f3e5fe136172eea15f8c47fdbc04a0ba2ea84d5cea547631b02fd8f7cc1dd8af769d4bea31d75a32f53ffbf99a8cd94df04516ac6
OPRFKeyGenProof13,54,hewigovens-360470,hewigovens,360470,7052064c71bdeba1902bb9eab94d1e86a5907d3e429454ae098ad9d5170e481c8d8be147c6d1e593c7ce46054fe5f34cf2beda78273d69f003a269fbcb93ab25
OPRFKeyGenProof13,53,moven0831-60170228,moven0831,60170228,05843e64c54d57a9e50a329f72867d9117f3af653d8d49850c3c95c14c903453fd38ae07ba839e763ef2448e1a65d5ac39b509629d5832ff1b1a4d6112f7ee3f
OPRFKeyGenProof13,52,heeckhau-735288,heeckhau,735288,c56a208dfd6639bb5b0b89ad28cce2d99272052f88425a202fa9ff98cc1b373dc64837e1300ccee7bf7e308b1bbe93acf14d788be8da4398f63cb0aa3cc56900
OPRFKeyGenProof13,51,pepemon42069-125748954,pepemon42069,125748954,20eb46f1311d6c059fcdfc089ea47e191b6cc9c62b8dbd21a98c6e1e71e3119f051c72fe716e1655aad72612906e1616f7558a89dd8ff9a2f61b6cce15773de7
OPRFKeyGenProof13,50,Nassami1-124793211,Nassami1,124793211,650afbace6b562ca5bcf2aa1bd89dd9b47de0734d66f5aefbd1daecc82b129222fcf56ffa9df7e3683683ce864b99b2c188a2bcda2964ac89ae69b7bf3dd52be
OPRFKeyGenProof13,49,Adeyemir-113684726,Adeyemir,113684726,092ac846f2f279db06c2d6c8b7478c2917dc0399649320254bd2700bdd43c7fa95797ddc903ed911dae8e7a7bfb9c565f3830818be037e21fe4381662fb29936
OPRFKeyGenProof13,48,NeutronicMC-17936976,NeutronicMC,17936976,564af46118e13bc33baf604a450211deb45bd8021516fdf982fa773bd271132e78ad34e5376e72b03178a70f4aee5b6508fbf0b1fadb96fe71b68c3ee8356448
OPRFKeyGenProof13,47,noushkia-60740003,noushkia,60740003,79e9b0ede235ddea6fdafba766ef2bc1c629d075c5d39c77ab0e87f3e2325aa34ddd3052b0b6ade38874dd00fc1da96c717ba68dbf44164be304ec598f9afdd7
OPRFKeyGenProof13,46,justinwangx-73374902,justinwangx,73374902,883b1d0b23e2bb7ff49b8cf88d954305634375b9824825e46340e7feab9d3dc3c8017807072261d1a1925de9fe94da894167b1461403b90f0cd5f5d3e184680e
OPRFKeyGenProof13,45,Iceyrim-127093206,Iceyrim,127093206,880af90528212867099048cce3c59bc58bb1d911f40f70a1deb61b367e0442de4be6ab3ada0732fe5fbf6a4c5cb5dd4cc917d0c992e27f381114ecff66d07ec7
OPRFKeyGenProof13,44,hansmrtn-282867,hansmrtn,282867,bbeece6c7c1fbad902444ce0c63c7abc20c3bc58c8362b896881490df88cdf73d624daf962b44ef994767307ef96aa7a25738357e143c30deb179743476e79dd
OPRFKeyGenProof13,43,lazzarinne-91226031,lazzarinne,91226031,9c8912ebb87d00258e8d17a31afbcff759eb73dc37d69bb005c6d35320dacde867ebff7d909466b90f6cd9329bf147f983f3926caefa9919623e991a99ad724c
OPRFKeyGenProof13,42,Kemperino-33121795,Kemperino,33121795,813c212ca7b2c8662b5c6668b721ac0d70cfa025eb8e4a799c5581490ebd8863f24f61570792ac8ecfd44085b7a814fa11d76fa5edde432a825339850c534b1e
OPRFKeyGenProof13,41,meefs-3507485,meefs,3507485,4994639bbb93c4ce6abad5824ddcd99cb099a461d1820cf465a869d60767d60a21a091b9c208b1711307d975e491bf6db4b781171af5dad56e9b9386c86fd5dd
OPRFKeyGenProof13,40,qosmonot-32738380,qosmonot,32738380,998f909b2228577e3444134cfc6aed49bcd014497ef25f75cd917ac749d99958d07faf558483ef4501da9f4d96d619eb451b78ae57a8898e470be55589138204
OPRFKeyGenProof13,39,emilianobonassi-8052911,emilianobonassi,8052911,011b33f7051735995aea33f3445316e3cfa640fb92f647a395eac7de67484fd9c68b74cecac4c72175e993adace482e8f787018de83273e823e833302520c052
OPRFKeyGenProof13,38,andyguzmaneth-67167307,andyguzmaneth,67167307,732a273b509fc3c2baab45e5481c6012eebb09bd4af55957af1aaa36cc2f30424676cebc5d706e39701f35395cec853529b52379ddf9ccbdaedf1c6ad96b695f
OPRFKeyGenProof13,37,tekkac-98529704,tekkac,98529704,2e619071c69846dea1b624adb980e8dfbbc90a702642388146708f2ce502cc309a2f5b14bfd6869c325f49a36555b0290854927f88745d4f5d83a850173cd669
OPRFKeyGenProof13,36,guelowrd-102294720,guelowrd,102294720,279ca7283a35ad32a2f3e4b0cef47f39620b7690f5cf94941ab3c8b2e5567244ac27f2b56129d0b71381e174fd37cb4a5a5d9ccd537cc34bc1aee66a40cde5a7
OPRFKeyGenProof13,35,vitorpy-12871,vitorpy,12871,2d34226b6af229724d5d823da428f26a2fa845fd7b2044ed8f8d3fa4c79c2949746ba62be73f4251300460c84d443b2c838bf892254558801b633bbd5d7ae5d3
OPRFKeyGenProof13,34,Shlummie-18132659,Shlummie,18132659,61ebde30a59760075fd463dcdc3c9478863b3388230e4b9028b603bb852c6701418d665dd31b88754d819a4767fa7fda570785d2dd172bf8f2100862365283d2
OPRFKeyGenProof13,33,amirylm-83904651,amirylm,83904651,e60300991262d96f9647ce902e8bf43dfb6596e8df5a87912ff9bdf07742397aad25766cb442bc5e6da221cc91d2844fedf579ed3eed6789016618eb7354a5f2
OPRFKeyGenProof13,32,toufic0710-67787511,toufic0710,67787511,00420ca99ef5c4f7c2edc0b3e45282ad081665be1d2cf2f3548136f93c597612d1a931a6b5f842bab8be177316a197455b404b854b911ecacb18946ddc0e4423
OPRFKeyGenProof13,31,rezabfil-sec-38436493,rezabfil-sec,38436493,52041e0e42d934a49d80eca7f6dcf6f22c69278ab00c1b42dd1368d8d4edb369ae0264a16b8336ac6815548266507cc2033423dd505e8360cbdbd8280ba09a9c
OPRFKeyGenProof13,30,ec2-6364934,ec2,6364934,614f2659a4a8f0e2f1cef6b2dc54dfb780bc4cb1684b5744566023bd8cc2a2d7f0779fb6e5936073d136747fd40ae5c704e1e6f2c8769d3b22e1633ef25fcd7a
OPRFKeyGenProof13,29,ph3t-18530936,ph3t,18530936,5386db34b38acf821564f55bf492909c72588618a99f6e594c8279215f4016cfa2e8bc1f309a7428fa6a91c0bd9b6d7a62d4d00ef6cd2189b0e56e6ff2ab3158
OPRFKeyGenProof13,28,asurak-313744,asurak,313744,36298c9f2887dfcfe1e37448386c1bcdec6f6fb886358ec0827d6d32ebe7cc88f52ff65f27bd0448ff7140563434d80dde7c08c7aadd3042143c5a478c088283
OPRFKeyGenProof13,27,uoksana-449552,uoksana,449552,bb951553d16983a2fec5c57e5c00b4e03ab4df103f178386d8d1e5d9a9c6732265eb511bf9f7abac9dedf528e82c2fa7164e917ebe150f99deb5e32124811ca7
OPRFKeyGenProof13,26,SeanROlszewski-2188018,SeanROlszewski,2188018,2ae1860a018ea42fa8d345f85f27339f48219162c334d43281f5c0fa2ed2250d840d6045f1ec5e73abe65ef6f0af92bdfa59f25a8c29f78292506d69ee65afaf
OPRFKeyGenProof13,25,NickTFH-224676408,NickTFH,224676408,6b4ac81c6f86115ffc8fae980c79ac5ae04287bc78bff73240f1bc60cd899dcffe6e1aeaa8e60e90188eb871fdf537a43c1dc86b1095311d32cbf8618c2463b2
OPRFKeyGenProof13,24,Gugi264-10576255,Gugi264,10576255,145e1f6356ca1f709352dc51b288126b34a5c83affac4d2c031f9223cf052ace850a462c18fe786f51982cb9d75ed8055d128ca3b7774f1230a0c3d6ff66a8f9
OPRFKeyGenProof13,23,0xThemis-118167989,0xThemis,118167989,a641d0d2e02945907695dbb3f6ddc9b9c361bfcaf000381fe78ba0b0f1287e5dde53036f7893c37726419dd40229a022d8805ee0566f11405550716bf85fe47c
OPRFKeyGenProof13,22,Dzejkop-5088647,Dzejkop,5088647,4d2287c2b8a5f1e36f8b5cf677fabead56a10911a08cbc0f0bd759091bc66f9e838c98c82b79036153310a37628b2575ea396cb167e7a08bd90a6b15a6dfe042
OPRFKeyGenProof13,21,Oghma-1630840,Oghma,1630840,49e7b44c5d263ce552bf7bc70e35906766015d3c1a9d2b04a9a339dc208998cd7a7965691ccdbd4cfb08a112bfdb6849fd7bcc41980bc69bd70f39d34ad5d505
OPRFKeyGenProof13,20,oskarth-1552237,oskarth,1552237,ff31ebac9f37028e888114d65816b8ec7942c39dfb422d479f4697181dc3f527d63a3ea4e5546bd7d175634aec2bf78aaf9505d5eff694bb685d029fb3ac6ac5
OPRFKeyGenProof13,19,andy-t-wang-41224501,andy-t-wang,41224501,3ac5ba899ef474f7614928162dffc26b071bf3a3941911de260ef10d34b111bc07766f558d3087ae06db25ab2950d95889a257e889d0ef807fc44ddc3549df35
OPRFKeyGenProof13,18,0xForerunner-8366997,0xForerunner,8366997,894b975d8c3bcbe9e6b5284b3f66967b31a85846ccd48d8c1bdd78154287099c09e8248993aff1348ed4f5a4264759873c9fee9ab482a7db0bfc8644c309441a
OPRFKeyGenProof13,17,td-lgd-196638237,td-lgd,196638237,3b8932484dd9b95c08edbe15791c5e63576426c7e3e08be68307c6bda45a9e8b601abd9b5e830c402c37a73afc0889d69cee2627c8ebd4426adaba2b533d609b
OPRFKeyGenProof13,16,Takaros999-80459599,Takaros999,80459599,e546dfdda1163706208bbb13f90946ac448aabbcd0fe0a9222186826a37d3c7007ecf0c1546468b787db5c11ad10c59402d42d8968a5a688317bfb9abfd6cf38
OPRFKeyGenProof13,15,piohei-1212808,piohei,1212808,60623333fe46c8eaaed9c8297e26e19d3c02f97f4ea31498b61ce9252fad56b75d3ba4d936f8bc9610e78201dd9d02dad33ac048cdf68a5a9a94ec87772a0f32
OPRFKeyGenProof13,14,vplasencia-52170174,vplasencia,52170174,d91c9f6b42347c6de57d256d259c37a929a5a8de649e1a43231895297e57e377063ae737befd5370437a8736625c025119c5eecf5b4f6c0ef99d78fe0454fd43
OPRFKeyGenProof13,13,paolodamico-5864173,paolodamico,5864173,1d86b6687a855ca0eac00acd95b115acb1553d32a54d7f3625954212d08a8e7949215ddfd2636788e3319c304d558a2de83752dcb997f1ca7e0d8fce0d8f2ed6
OPRFKeyGenProof13,12,kilianglas-19326807,kilianglas,19326807,4e4bc4a83ec770fb02017414a2b33c9a679548579fc19715bf9514076350354f2e8eda27912fcef76b9cbb675a2ae81629768cab476f391e6f50db2ba7db824e
OPRFKeyGenProof13,11,0xPenryn-29718876,0xPenryn,29718876,fb4a6aa5a78d2dbc984df39bb949f46854a8661ab173b7ce99590b992380b7d835f30c9bab3481c787480f2c53d4a92406a9219431bc90923273fe0eb5126a9c
OPRFKeyGenProof13,10,alessandromazza98-121622391,alessandromazza98,121622391,7ce734144748b0a3bbbf52360fef70970744a80d7995b7493b7481a0f617446a18b4cdb2ac8660e187861600a1f9cd217265f322a43b6eb5a4c0e768df050b7d
OPRFKeyGenProof13,9,0xOsiris-26036115,0xOsiris,26036115,1344d053690e3a17694b9a0205c5b10ebf41b308d3d944e60fcae72d5f097b49a5e00ce230565f667d214250469a55f000a32cf4bbe969ea5b09ffff22eb2964
OPRFKeyGenProof13,8,vacekj-10381200,vacekj,10381200,4adc7707daa913b316096b78ff783fec192c4e09baf1bf5c1c264ca15fea5ca7bc126c245416496c228a51eacb24939029f4443aa871cac29164928c55f69171
OPRFKeyGenProof13,7,danielllek-4323252,danielllek,4323252,1095a071f6446c067a55641fa9aaf7980cdc98dbbd08dd1701558ddd821fbf222e5184a277f2ec42a94cf3d25ab0a13d1d6a2463643405e24f243b8541681fcf
OPRFKeyGenProof13,6,Bisht13-44467788,Bisht13,44467788,62be85690a44166a439b5dba8bed9e961f343406b8d2adea3899b0f96875f94470a46f2505cefadfd3c2089e8a831c843a4f5203d67870a93808cb697b06aa1c
OPRFKeyGenProof13,5,kustosz-1214109,kustosz,1214109,7a86a8aa2f00b85c2cf7eb105fa6ad5e3415346e8d68edf92d040ed50764e59ee4ce7e6c72dda120f0c897e19810119fcafe75a0fa94e5e14b67c929161a33eb
OPRFKeyGenProof13,4,yi-sun-5178036,yi-sun,5178036,628ab321f08fbbb18cc1cc141039c23ea06f71d1c11f6c38e98a04aa7ce0c18a678c8d9dd6807f662b996b16ec9fa020044651d36ff93d37906c95a5d43df7af
OPRFKeyGenProof13,3,philsippl-15144388,philsippl,15144388,957b325fa8e0ee1677b6ec1ab5787c2b80d325299325d082180433af632b86e487ae352adf37e7dae2b546ce593306fefaa256bcc6160d3bd127c31cfd9b1b92
OPRFKeyGenProof13,2,m1guelpf-23558090,m1guelpf,23558090,88ff4616e9544091d80fa253960d6254d3f3f72d321158fbc4e3d11c3440e336ac3bb22d24de40071d4ea3cb887078d12eff7ea1547031467946e18225e652ea
OPRFKeyGenProof13,1,dcbuild3r-19372745,dcbuild3r,19372745,f61ac8ba76590d274ac30b69179cb346140fcba3946d62c1f0fd73cea0b1fee704602e8bbf92efd1f4fb0f4bca942fadaca06f618cac350b3bc3ab612e06d340
OPRFKeyGenProof25,112,dcbuild3r-19372745,dcbuild3r,19372745,3f00ac6b672bbc02f58ef52e8553b11c2c86c5cf4148e2e0a55114783de9732045c7f301b3455b241e3943737ba0f65a7a5f4feda2d70750d2016372bd5e6af9
OPRFKeyGenProof25,111,Timidan-25876969,Timidan,25876969,6b230b67c13670026a9ebba05b59a8e2f6a256ebf4afeb7e63ca1640799f5b2ceb45b5fd487795bde43b9af753ad2148b18fce390e3c6342398343f5e71884c4
OPRFKeyGenProof25,110,nvmb3r-24656497,nvmb3r,24656497,f2c04b6120e394f5f66317a16285763cda20ef709f7084440ebb24d2a3a4da44cf0f54eec83673f2873d2b81774b445f56d15013fe40db7cf5bb6a96b9cff9aa
